,nfe,ei,seed
1977,4700,0.6031394468057089,10
1978,4800,0.6031394468057089,10
1979,4900,0.5897981444884463,10
1980,5000,0.5898199410786594,10
1981,5100,0.5898199410786594,10
1982,5200,0.5898199410786594,10
1983,5300,0.5898199410786594,10
1984,5400,0.5898199410786594,10
1985,5500,0.5898199410786594,10
1986,5600,0.5898199410786594,10
1987,5700,0.5898199410786594,10
1988,5800,0.5898199410786594,10
1989,5900,0.5898199410786594,10
1990,6000,0.5585060800656502,10
1991,6100,0.5585060800656502,10
1992,6200,0.5585060800656502,10
1993,6300,0.5585060800656502,10
1994,6400,0.5585060800656502,10
1995,6500,0.5585060800656502,10
1996,6600,0.5585060800656502,10
1997,6700,0.5585060800656502,10
1998,6800,0.5585060800656502,10
1999,6900,0.5585060800656502,10
2000,7000,0.5585060800656502,10
2001,7100,0.5585060800656502,10
2002,7200,0.5585060800656502,10
2003,7300,0.5585060800656502,10
2004,7400,0.5585060800656502,10
2005,7500,0.5585060800656502,10
2006,7600,0.5585060800656502,10
2007,7700,0.5585060800656502,10
2008,7800,0.5585060800656502,10
2009,7900,0.5585060800656502,10
2010,8000,0.5585060800656502,10
2011,8100,0.5585060800656502,10
2012,8200,0.5585060800656502,10
2013,8300,0.5585060800656502,10
2014,8400,0.5585060800656502,10
2015,8500,0.5585060800656502,10
2016,8600,0.5585060800656502,10
2017,8700,0.5585060800656502,10
2018,8800,0.5585060800656502,10
2019,8900,0.5585060800656502,10
2020,9000,0.5585060800656502,10
2021,9100,0.5585060800656502,10
2022,9200,0.5585060800656502,10
2023,9300,0.5585060800656502,10
2024,9400,0.5585060800656502,10
2025,9500,0.5585060800656502,10
2026,9600,0.5585060800656502,10
2027,9700,0.5585060800656502,10
2028,9800,0.5585060800656502,10
2029,9900,0.5585060800656502,10
2030,10603,0.5585060800656502,10
2031,11407,0.5585060800656502,10
2032,12211,0.5585060800656502,10
2033,13015,0.5585060800656502,10
2034,13819,0.5585060800656502,10
2035,14623,0.5585060800656502,10
2036,15427,0.5585060800656502,10
2037,16231,0.5585060800656502,10
2038,17035,0.5585060800656502,10
2039,17839,0.5585060800656502,10
2040,18643,0.5585060800656502,10
2041,19447,0.5585060800656502,10
2042,20251,0.5585060800656502,10
2043,21055,0.5585060800656502,10
2044,21859,0.5585060800656502,10
2045,22663,0.5585060800656502,10
2046,23467,0.5585060800656502,10
2047,24271,0.5585060800656502,10
2048,25075,0.5585060800656502,10
2049,25879,0.5585060800656502,10
2050,26683,0.5593320244493322,10
2051,27487,0.5593320244493322,10
2052,28291,0.5593320244493322,10
2053,29095,0.5593320244493322,10
2054,29899,0.5593320244493322,10
2055,30703,0.5593320244493322,10
2056,31507,0.5580272789722155,10
2057,32311,0.5580272789722155,10
2058,33115,0.5580272789722155,10
2059,33919,0.5580272789722155,10
2060,34723,0.5580272789722155,10
2061,35527,0.5580272789722155,10
2062,36331,0.5580272789722155,10
2063,37135,0.5580272789722155,10
2064,37939,0.5580272789722155,10
2065,38743,0.5580272789722155,10
2066,39547,0.5580272789722155,10
2067,40351,0.5441212956526764,10
2068,41155,0.5376637382628525,10
2069,41959,0.5411482762023846,10
2070,42763,0.5411482762023846,10
2071,43567,0.5411482762023846,10
2072,44371,0.5426739888348847,10
2073,45175,0.5426739888348847,10
2074,45979,0.5426739888348847,10
2075,46783,0.5426739888348847,10
2076,47587,0.5422819390133691,10
2077,48391,0.5422819390133691,10
2078,49195,0.5422819390133691,10
2079,49999,0.5422819390133691,10
2080,50803,0.541745318957392,10
2081,51607,0.541745318957392,10
2082,52411,0.5367608860900019,10
2083,53215,0.5367608860900019,10
2084,54019,0.5367608860900019,10
2085,54823,0.5367608860900019,10
2086,55627,0.5422819390133691,10
