hydropower,atomicpowerplant,baltimore,chester,environment,recreation
-37.395287047234305,-0.941831076875042,-0.8011701271843225,-0.9165097252750277,0.30067624065375187,-0.8928571428571429
-54.07702945589695,-0.6658857706027406,-0.6712884812445271,-0.585436721785384,0.21009133948151565,-0.9642857142857143
-17.31260449176763,-0.8534711391183244,-0.6136395889239289,-0.8901726160459368,0.41660937121758435,-1.0
-41.410525569995784,-0.928716109018654,-0.8199066984726298,-0.6662842817639221,0.3214543298008206,-1.0
-41.44323008692526,-0.9733541650828421,-0.6684881956864938,-0.8968427168518516,0.3178422602840223,-1.0
-46.414830820995995,-0.15650319135593996,-0.08112142800923358,-0.10145224460111996,0.30476108698557675,-1.0
-55.03574228656278,-0.7966544781126159,-0.6266680346766855,-0.8324908972926691,0.2006300841548132,-0.9642857142857143
-47.10363169630305,-0.18566888221268948,-0.1296989719731374,-0.1487755201878183,0.30065010266004977,-0.8928571428571429
-52.250344778133524,-0.3436345437977501,-0.14863639416010918,-0.20936712953968054,0.25050330238628044,-0.8928571428571429
-22.611094997566894,-0.957536480956221,-0.8745307773236746,-0.8508391474299936,0.3985177657114757,-0.9285714285714286
-44.048487225802695,-0.6797511418369039,-0.8364188514548131,-0.8765371758652574,0.30831613096119004,-0.9642857142857143
-26.19118133227651,-0.9847987951936299,-0.7246445565657906,-0.8519427943019527,0.403111492226714,-0.7857142857142857
-80.32924146621612,-0.9987335631579872,-0.9128052615186346,-0.9369707620850128,0.1063048776168069,-1.0
-56.92227253464056,-0.9112270525648976,-0.8541892399383992,-0.6409544191165494,0.1506175263849624,-1.0
-45.28697720783757,-0.9139284784630216,-0.7661843240992747,-0.7010500699252388,0.3047878080363143,-0.8928571428571429
-53.08559646283381,-0.9253960060915384,-0.7181243231302541,-0.6399570062802095,0.22605223482770467,-1.0
-6.818129908968821,-0.9079287185833388,-0.5802302167376099,-0.9051250327157855,0.45200530215613527,-0.8571428571428572
-37.36391925742537,-0.9038970018568402,-0.5756348534300496,-0.8758722962631369,0.35504766609421695,-0.9285714285714286
-54.1073927169069,-0.6080167348061633,-0.5489909778004867,-0.7263396409914507,0.20796450886231324,-1.0
-54.526945227730245,-0.6577434348024016,-0.7799205738776673,-0.8463520793502913,0.20446738435797535,-0.9285714285714286
-49.673085675774686,-0.8338729995727546,-0.764302968602722,-0.8227128022468706,0.26528926756154714,-0.9642857142857143
-46.995793043613276,-0.9413144370764879,-0.7680954247129489,-0.8102315069000194,0.29155734776157965,-1.0
-44.764522380368746,-0.5755295448764196,-0.8811143267168617,-0.44533659372732753,0.30112943322122226,-0.8928571428571429
-79.15866213761817,-0.9992342574367228,-0.9167688991584907,-0.9506553084871932,0.10769891078024918,-1.0
-7.745392239269902,-0.5771996659688206,-0.7502659459508157,-0.5847821003440579,0.4529153227616766,-1.0
-40.25914805955944,-0.5477608805219998,-0.8705383464522499,-0.45756558767988137,0.3147806482171636,-1.0
-7.74953571289465,-0.8220699845432231,-0.6267507834704078,-0.6700500343913578,0.45597864110275277,-1.0
-54.533719568422136,-0.8590012722513145,-0.44378583224637014,-0.586564351838201,0.20062160584479363,-1.0
-54.480392450421455,-0.773208156578149,-0.7665082022289085,-0.5509496746064387,0.20383740059684677,-0.8571428571428572
-47.60167035798902,-0.9403764177971028,-0.7945378045884857,-0.9041335462543917,0.2917670099835278,-0.9642857142857143
-45.90357849289171,-0.9567315274022987,-0.5944486485342957,-0.40140065865766555,0.3039098697685197,-0.9285714285714286
-38.976419747243604,-0.6931893989787897,-0.7117233693185017,-0.8853492535055721,0.3556865363840878,-0.9642857142857143
-25.701515838857436,-0.9940195300356265,-0.812890087406464,-0.8819059323086332,0.4023671814829348,-0.8214285714285714
-37.34374580163577,-0.8408276127886256,-0.8259386013012887,-0.8641103529100654,0.35145270016313557,-0.7142857142857143
-30.709027581959976,-0.9031958994682625,-0.8235901402565811,-0.5561343513252786,0.40209050224531506,-0.8571428571428572
-51.1605716184461,-0.8678334607251066,-0.3139035723920442,-0.6858791648595048,0.2517556084143406,-1.0
-18.05739327833555,-0.8475463872871669,-0.7363040734905089,-0.8927292602729108,0.42405999626919644,-1.0
-26.190868695691442,-0.9938036806511307,-0.6767088170243069,-0.9016643154119551,0.40022597960106926,-0.6428571428571428
-36.53088279103513,-0.9678080575455104,-0.6350279101154116,-0.6263895043082908,0.3614767113981793,-0.9642857142857143
-51.12637072865334,-0.572680337152866,-0.4496110233457787,-0.4767844813963667,0.25809398010095097,-1.0
-51.12287280075581,-0.9590219854956108,-0.9031368537538194,-0.45200278812097233,0.24029013396059035,-0.9285714285714286
-43.48109079955995,-0.7051795795490137,-0.589433223244569,-0.7222167092973785,0.3187579230099534,-1.0
-31.83558960370249,-0.7614836392471626,-0.833849226590288,-0.9304489240485797,0.3802893306824434,-0.9285714285714286
-29.354655554038683,-0.9674935030817121,-0.7657606228818649,-0.8230762427181877,0.40043532953456973,-1.0
-52.78668215838242,-0.9397169152051084,-0.9036899288781568,-0.5595527297212177,0.22117137087003985,-0.9285714285714286
-26.880943819120322,-0.8628343193848529,-0.8602802768660005,-0.8687380845977984,0.392786257781147,-0.9642857142857143
-52.76257683461322,-0.941480121611142,-0.9011178100696158,-0.5417927113582647,0.22131574133750112,-0.9642857142857143
-10.803542139358965,-0.46096762378937745,-0.7599699564080737,-0.7629118732341801,0.45186471291444047,-0.8928571428571429
-53.84748891652464,-0.7737484582623235,-0.7778809175761977,-0.7805906536650172,0.2116843342321416,-0.9642857142857143
-40.07685640181374,-0.1765493797085203,-0.11031670573184607,-0.14788886497611956,0.35079886413578715,-0.9285714285714286
-53.75446271293358,-0.8574922121882868,-0.7176568199644721,-0.8590074964026856,0.21113995704077507,-1.0
-54.273654591041975,-0.7559915320239456,-0.7472494852563735,-0.6184545219501226,0.21164225201805995,-0.9285714285714286
-38.83017092681354,-0.8660359511225046,-0.7132855139925063,-0.49266015852387207,0.3575291120434547,-0.9642857142857143
-51.5840000522304,-0.4941105153654263,-0.3149895679429845,-0.3930749706237951,0.25082123232525355,-0.9642857142857143
-54.32138269760325,-0.5867497949372432,-0.7508346456757028,-0.6788432713224337,0.20526938928591665,-1.0
-51.08792132952687,-0.9664118356198527,-0.7202822191699588,-0.8488335981247481,0.26176290043272915,-0.9285714285714286
-35.14228139378917,-0.983616589830618,-0.761965783781067,-0.702564891620641,0.35001051150389,-0.9642857142857143
-53.885422029727025,-0.9519331581714239,-0.48773852841453114,-0.723507325976427,0.20997306667755786,-0.9642857142857143
-12.209030604326466,-0.3753572957069832,-0.900565493508859,-0.23497296691704558,0.4044990780917673,-0.9642857142857143
-46.0726956657164,-0.31832768201660455,-0.10465347238142023,-0.07760956676187727,0.301401277868358,-1.0
-55.220964106227875,-0.2917937450287482,-0.20671774272263568,-0.1104170327162628,0.201141858426909,-1.0
-43.086175768101924,-0.7609613553811759,-0.7601558125485502,-0.8305222734791198,0.30921257664054186,-0.9642857142857143
-44.5993619332808,-0.955532576940294,-0.8355299651630802,-0.5027017548140762,0.3125287873297601,-0.9285714285714286
-49.9935182978206,-0.8506887620200908,-0.6608024490960047,-0.9171586775317564,0.270877455985522,-0.9285714285714286
-50.36776419631982,-0.9702137237604895,-0.7196916403631098,-0.8484335622570652,0.26133167212439146,-0.9642857142857143
-51.254385204982015,-0.9269737915783837,-0.88802622902677,-0.4472113588090288,0.25071077658914603,-1.0
-49.07452107914396,-0.9437245556689811,-0.8191038011307188,-0.863539375315042,0.2639085535371904,-0.8928571428571429
-36.655180159973874,-0.969317606988219,-0.5672704627692899,-0.7735214496895529,0.36533968142134,-0.9642857142857143
-34.53629312537754,-0.9873912587266047,-0.8677241447222722,-0.643461853074003,0.3731721333361161,-0.9642857142857143
-39.25598703774031,-0.8589821993650157,-0.5629628066222007,-0.7205608946722518,0.3503496620620154,-1.0
-36.041546129725745,-0.925959619622004,-0.6330556164459065,-0.894736353928071,0.3557176983267037,-1.0
-25.417893037279075,-0.8742425154501066,-0.8604952414944965,-0.903655031186235,0.369496462322594,-0.9642857142857143
-45.25909664923059,-0.9205859685709373,-0.33757938982440694,-0.7651468945685398,0.3075359480581074,-0.9285714285714286
-49.70136349327201,-0.8337195475826918,-0.37236777932147064,-0.9254037268282125,0.2063067315207846,-1.0
-39.55998762310384,-0.9196848813217299,-0.5230783177350076,-0.8437992733531176,0.35240998134991874,-1.0
-47.17648937511974,-0.949099993276819,-0.6908514243137083,-0.8021847530332886,0.2896793489097225,-1.0
-49.38218180057616,-0.9603240167524525,-0.5783122658864097,-0.4077260881899571,0.2693906794240067,-1.0
-53.57889095664954,-0.6964897335164052,-0.8421445434544457,-0.8744754130396578,0.21306422724088478,-0.9285714285714286
-53.46195244801803,-0.8591454709262488,-0.9012815108336529,-0.6052616054277931,0.2028490037346508,-0.9285714285714286
-47.52239213068473,-0.9853777928564562,-0.8660324732446236,-0.8793273490021324,0.2679022155019385,-0.9642857142857143
-25.233264729907546,-0.941557622049107,-0.8626265658347861,-0.9127602685991759,0.37331178791704794,-0.9285714285714286
-6.697669009461058,-0.9025118193120157,-0.8287141656823793,-0.811092065601982,0.45718235231175836,-1.0
-48.168790755247784,-0.9553369751781544,-0.864986403827145,-0.6249814576006504,0.27338670360068135,-0.9285714285714286
-8.019001516539854,-0.9301054045757183,-0.7854593915487779,-0.809818268401543,0.452640620868444,-0.9642857142857143
-52.73601108484737,-0.9579876797558511,-0.7687143275469164,-0.910325399166756,0.1547834608540769,-0.9642857142857143
-31.909782943653326,-0.8523545187005273,-0.7639292272438009,-0.9244983929003949,0.3808735613895914,-1.0
-51.70452934110317,-0.30891618709981095,-0.0957987895342628,-0.30866992436026885,0.25616578145980107,-1.0
-29.03945871686202,-0.47194257539687595,-0.8383754209767753,-0.5190971463208915,0.40143781118084937,-1.0
-53.27104955471682,-0.9509316551208918,-0.7246722932048847,-0.70894965511054,0.22399975712620446,-0.9285714285714286
